date,temperature,humidity,rainfall,wind_speed,pressure,location
2023-06-07,31.8,58.7,0.0,8.2,1021.9,farm_1
2023-06-08,29.5,65.8,15.6,11.3,1017.2,farm_1
2023-06-09,32.1,57.4,0.0,7.5,1022.6,farm_1
2023-06-10,30.7,61.9,6.1,9.1,1020.1,farm_1
2023-07-01,38.9,40.3,0.0,2.1,1032.4,farm_2
2023-07-02,40.4,37.8,0.0,1.8,1033.9,farm_2
2023-07-03,37.6,43.2,0.9,3.7,1030.1,farm_2
2023-07-04,36.3,46.7,4.1,5.4,1027.3,farm_2
2023-07-05,39.2,41.1,0.0,2.6,1031.8,farm_2
2023-07-06,41.7,35.6,0.0,1.5,1034.7,farm_3
2023-07-07,43.2,32.1,0.0,1.2,1036.3,farm_3
2023-07-08,40.8,38.5,0.6,2.9,1032.9,farm_3
2023-07-09,39.5,41.9,3.2,4.6,1029.8,farm_3
2023-07-10,42.1,36.4,0.0,2.1,1034.2,farm_3
2023-08-01,32.4,59.6,11.8,10.5,1020.7,farm_1
2023-08-02,33.9,56.2,0.0,8.9,1023.1,farm_1
2023-08-03,31.6,63.1,18.3,12.2,1018.4,farm_1
2023-08-04,34.2,55.8,0.0,8.1,1024.8,farm_1
2023-08-05,32.8,60.4,7.9,9.8,1021.5,farm_1
2023-08-06,42.8,33.9,0.0,1.9,1035.1,farm_2
2023-08-07,44.3,30.4,0.0,1.6,1036.8,farm_2
2023-08-08,41.9,36.8,0.4,3.2,1033.4,farm_2
2023-08-09,40.6,40.2,2.7,4.9,1030.6,farm_2
2023-08-10,43.4,34.7,0.0,2.3,1035.9,farm_2
2023-09-01,44.9,29.1,0.0,1.3,1037.5,farm_3
2023-09-02,46.4,25.6,0.0,1.0,1039.2,farm_3
2023-09-03,43.5,32.4,0.2,2.6,1035.8,farm_3
2023-09-04,42.2,35.8,1.9,4.3,1032.7,farm_3
2023-09-05,45.1,30.2,0.0,1.7,1037.1,farm_3
2023-09-06,34.7,57.3,14.2,11.8,1022.3,farm_1
2023-09-07,36.2,53.9,0.0,9.6,1024.7,farm_1
2023-09-08,33.9,60.6,21.5,13.5,1019.8,farm_1
2023-09-09,35.5,54.7,0.0,8.8,1025.4,farm_1
2023-09-10,34.1,58.1,9.3,10.7,1022.9,farm_1
2023-10-01,46.2,27.8,0.0,0.9,1038.9,farm_2
2023-10-02,47.7,24.3,0.0,0.7,1040.6,farm_2
2023-10-03,44.8,30.7,0.1,2.3,1037.2,farm_2
2023-10-04,43.5,34.1,1.6,4.0,1034.1,farm_2
2023-10-05,46.4,28.5,0.0,1.4,1038.5,farm_2
