date,crop,price,supply,demand,weather_index,season_encoded,historical_avg
2023-05-06,rice,205.1,1080,1270,0.0,2,175.8
2023-05-07,rice,208.8,1070,1280,0.0,2,175.8
2023-05-08,rice,203.6,1090,1265,0.1,2,175.8
2023-05-09,rice,206.4,1075,1275,0.0,2,175.8
2023-05-10,rice,209.7,1065,1285,0.0,2,175.8
2023-06-01,wheat,275.5,860,1050,0.1,3,245.2
2023-06-02,wheat,279.2,850,1060,0.0,3,245.2
2023-06-03,wheat,273.1,870,1045,0.2,3,245.2
2023-06-04,wheat,276.8,855,1055,0.1,3,245.2
2023-06-05,wheat,274.9,865,1048,0.1,3,245.2
2023-06-06,rice,212.3,1060,1300,0.0,3,175.8
2023-06-07,rice,215.9,1050,1310,0.0,3,175.8
2023-06-08,rice,210.8,1070,1295,0.1,3,175.8
2023-06-09,rice,213.7,1055,1305,0.0,3,175.8
2023-06-10,rice,216.4,1045,1315,0.0,3,175.8
2023-07-01,wheat,280.1,840,1070,0.0,3,245.2
2023-07-02,wheat,283.8,830,1080,0.0,3,245.2
2023-07-03,wheat,277.9,850,1065,0.1,3,245.2
2023-07-04,wheat,281.5,835,1075,0.0,3,245.2
2023-07-05,wheat,279.2,845,1068,0.0,3,245.2
2023-07-06,rice,218.7,1040,1330,0.0,3,175.8
2023-07-07,rice,222.1,1030,1340,0.0,3,175.8
2023-07-08,rice,216.9,1050,1325,0.1,3,175.8
2023-07-09,rice,220.5,1035,1335,0.0,3,175.8
2023-07-10,rice,223.8,1025,1345,0.0,3,175.8
2023-08-01,wheat,284.9,820,1090,0.0,3,245.2
2023-08-02,wheat,288.5,810,1100,0.0,3,245.2
2023-08-03,wheat,282.1,830,1085,0.1,3,245.2
2023-08-04,wheat,286.2,815,1095,0.0,3,245.2
2023-08-05,wheat,283.8,825,1088,0.0,3,245.2
2023-08-06,rice,225.4,1020,1360,0.0,3,175.8
2023-08-07,rice,228.9,1010,1370,0.0,3,175.8
2023-08-08,rice,223.1,1030,1355,0.1,3,175.8
2023-08-09,rice,227.2,1015,1365,0.0,3,175.8
2023-08-10,rice,230.6,1005,1375,0.0,3,175.8
2023-09-01,wheat,289.7,800,1110,0.0,4,245.2
2023-09-02,wheat,293.1,790,1120,0.0,4,245.2
2023-09-03,wheat,286.8,810,1105,0.1,4,245.2
2023-09-04,wheat,290.9,795,1115,0.0,4,245.2
2023-09-05,wheat,288.4,805,1108,0.0,4,245.2
2023-09-06,rice,232.8,1000,1390,0.0,4,175.8
2023-09-07,rice,236.4,990,1400,0.0,4,175.8
2023-09-08,rice,230.5,1010,1385,0.1,4,175.8
2023-09-09,rice,234.1,995,1395,0.0,4,175.8
2023-09-10,rice,237.9,985,1405,0.0,4,175.8
2023-10-01,wheat,294.3,780,1130,0.1,4,245.2
2023-10-02,wheat,297.8,770,1140,0.0,4,245.2
2023-10-03,wheat,291.2,790,1125,0.2,4,245.2
2023-10-04,wheat,295.5,775,1135,0.1,4,245.2
2023-10-05,wheat,292.9,785,1128,0.1,4,245.2
2023-10-06,rice,240.1,980,1420,0.0,4,175.8
2023-10-07,rice,243.8,970,1430,0.0,4,175.8
2023-10-08,rice,237.9,990,1415,0.1,4,175.8
2023-10-09,rice,241.6,975,1425,0.0,4,175.8
2023-10-10,rice,245.2,965,1435,0.0,4,175.8
